sample_id,source_title,page_id,line_id,image_url,ocr_engine,ocr_text,clean_text,notes
real_044_001,Ukraina Russia Turkey,page_044,line_001,local,tesseract_ara_eng_psm6,عصر نصف اولك صوكنه طوغرى اوقراما حاتى بر جوق ‎cle‏,عصر نصف اولنك صوكنه طوغرى اوقراینا حیاتی بر چوق عالملر،,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_002,Ukraina Russia Turkey,page_044,line_002,local,tesseract_ara_eng_psm6,‎ate pad esl‏ . بونلرك اوقراينا ‎Sol‏ واتنوغىافسى حقنده,اديبلر يتيشدير مشدر. بونلرك اوقراينا تاریخی واتنوغرافيسى حقنده,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_003,Ukraina Russia Turkey,page_044,line_003,local,tesseract_ara_eng_psm6,‎cabal hk‏ اترار» ‎cpa del sal‏ اووويا علماريتك سويسته,يازمش اولدقلری اثرلر، اوقرانيا علومنی، آوروپا عاملرينك سويەسنه,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_004,Ukraina Russia Turkey,page_044,line_004,local,tesseract_ara_eng_psm6,قادار ح.قارمش ‎ts Gey‏ اوقراينا ‎SI‏ مله وسساسهدسنك,قادار چیقارمش وعينى زمانده اوقراينا افكار مليه وسياسيەسنك,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_005,Ukraina Russia Turkey,page_044,line_005,local,tesseract_ara_eng_psm6,‎aes Goal‏ اجون مهم ‎SL oy‏ اواشاردر . بودورهيهمنسوب,تعميق وتوسیعی ايچون مهم برر سائق اولمشلردر. بودوره به منسوب,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_006,Ukraina Russia Turkey,page_044,line_006,local,tesseract_ara_eng_psm6,علما وادبادن » مورخ ( قوستوماروف ) ‎oss Hele‏,علما وادبادن، مورخ (قوستوماروف)، اتنوغرافي متخصصی,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_007,Ukraina Russia Turkey,page_044,line_007,local,tesseract_ara_eng_psm6,‎(See)‏ ومورخ وشاع ( قوليش )ك2 اسمارى ذكر اد طلدرار .,(چوبينسكي) ومورخ وشاعر (قوليش)ك اسملرى ذكر ایديلمليدرلر.,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_008,Ukraina Russia Turkey,page_044,line_010,local,tesseract_ara_eng_psm6,فقط بواسمارك قعرنده ‎MLN Sol‏ بوتون قواى فطر يوسن ى ‎LE‏,فقط بواسملرك قعرنده اوقراينانك بوتون قوای فطریه سنی تمثیل ايدن,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_009,Ukraina Russia Turkey,page_044,line_011,local,tesseract_ara_eng_psm6,‎Gal‏ بوبوك اوقراينا شاعرى ‎Ib)‏ شهوحهمو ) نك اسمى,بويوك اوقراينا شاعری (طاراس شەوچەنقو)نك اسمى,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_010,Ukraina Russia Turkey,page_044,line_012,local,tesseract_ara_eng_psm6,بولومقدهدر ‎(pie get).‏ اوقرانما قره طوبراغنك وشاعى ملتنك,بولونمقدەدر. (شەوچەنقو)، اوقرانيا قرەطوپراغنك وشاعر ملتنك,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_011,Ukraina Russia Turkey,page_044,line_013,local,tesseract_ara_eng_psm6,قره ‎AIL‏ توزاد حققس.در . ‎soa‏ حقوق ولروندن محروم,قره طالعنك نوزاد حقيقيسدر، هردرلو حقوق وثروندن محروم,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_012,Ukraina Russia Turkey,page_044,line_014,local,tesseract_ara_eng_psm6,‎BSG‏ عالوسندن يتشمش اولان شاعى ( شهوجهنقو ) نك روحى»,برکويلى عائله سندن يتشمش اولان شاعر (شەوچەنقو)نك روحى،,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_013,Ukraina Russia Turkey,page_044,line_015,local,tesseract_ara_eng_psm6,اوقراينا طوبرائىكى زنكينء اوقراينا ‎S gh‏ محزون واوقراينانك,اوقراينا طويراغی کی زنكين، اوقراینا ملتی کی محزون واوقراينانك,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_014,Ukraina Russia Turkey,page_044,line_016,local,tesseract_ara_eng_psm6,استقبالى اجون ‎Lal Joely‏ مشبوع اوادينى كى ‎ea‏,استقبالی ايچون بر اختلالجی ایمانیله مشبوع اولدینی کبی کندیسی,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_015,Ukraina Russia Turkey,page_044,line_017,local,tesseract_ara_eng_psm6,‎glee‏ ملرك برشاعى حققسى ابدى. ( شهوحدهو ) نك ‎I‏ مقدارده,مظلوملرك برشاعر حقیقیسی ایدی. (شەوچەنقو)نك كليتنى مقدارده,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
