row_id,noisy,prediction,clean,cer_noisy,cer_prediction,cer_improvement,wer_noisy,wer_prediction,wer_improvement,noisy_len,prediction_len,clean_len
254,يويوكبرت شهزته مىلک بولونان (ميقولالی صەنقو) بونر میاننذه در.,بويوك برت شهرته مالك بولونان (ميقولالی صەنقو) بونر میاننده در.,بويوك بر شهرته مالك بولونان (ميقولالی صەنقو) بونلر میاننده در.,0.12903225806451613,0.03225806451612903,0.0967741935483871,0.6,0.2,0.39999999999999997,61,62,62
126,ثوتورکیة ایل ه وقزاینلیلر آرد سندهع سنه لزجەوام ایدث بر متادیمحاربات دوره سیاولدي.,بوتورکیه ایله وقراینلیلر آردسنده سنه لرجەوام ایدن بر متادی محاربات دوره سیاولدى.,بوتورکیه ایله اوقراینالیلر آرد سنده سنه لرجەدوام ایدن بر متمادی محاربات دوره سی اولدى.,0.16279069767441862,0.06976744186046512,0.0930232558139535,0.7857142857142857,0.5,0.2857142857142857,82,80,86
582,آكلامغه واقرايا ملتنه كندى مدنيتنك وحي ات سياسية شنه سربست ی اکشافنیيأمخین ىيدەج ك اجتماعی و سیىسی بزبروغآرامك لزوم تنظيمنى دزك وبقدير اينكه باسلادىلر.,آكلامغه واقراينا ملتنه كندى مدنيتنك وحيات سياسيه سنه سربستی اکشافنی تأمخین ايدەجك اجتماعی و سیاسی بر بروغرامك لزوم تنظيمنى درك وبقدير اينكه باسلاديلر.,آكلامغه واوقراينا ملتنه كندى مدنيتنك وحيات سياسيه سنه سربستی انکشافنی تأمین ايدەجك اجتماعی و سیاسی بربروغرامك لزوم تنظيمنى درك وتقدير اينكه باشلاديلر.,0.12666666666666668,0.04,0.08666666666666667,0.6818181818181818,0.3181818181818182,0.3636363636363636,151,150,150
284,مستقل بر اوقر اين ح كو متنك عقب تشکلنده زراعتةعائد امور وخصوصـاندة اوقراينا كويليلرينك منافعنه ىك موافق بر طززد ه اضلاحات اساس یة ازاسته تسبث اولنەجقدر,مستقل بر اوقراينا حكومتنك عقب تشکلنده زراعته عائد امور وخصوصـانده اوقراينا كويليلرينك منافعنه اك موافق بر طرزده اضلاحات اساسیه ازاسته تسبث اولنەجقدر.,مستقل بر اوقراينا حكومتنك عقب تشکلنده زراعته عائد امور وخصوصـانده اوقراينا كويليلرينك منافعنه اك موافق بر طرزده اصلاحات اساسیه اجراسته تشبث اولنەجقدر.,0.11333333333333333,0.02666666666666667,0.08666666666666666,0.7727272727272727,0.13636363636363635,0.6363636363636364,151,149,150
438,بوتشتت وتفرقه یوزن دن اوقراینا كیت کیده دها زیاده ورطۀ انقراضواحطاطک کظنارینة ظوغری یوإ وارلیوردی.,بوتشتت وتفرقه یوزندن اوقراینا کیت کیده دها زیاده ورطۀ انقراض واحطاطك کنارینه طوغری یو وارلیوردی.,بوتشتت وتفرقه یوزندن اوقراینا کیت کیده دها زیاده ورطۀ انقراض وانحطاطك کنارینه طوغری یووارلنیوردی.,0.1134020618556701,0.030927835051546393,0.08247422680412371,0.5714285714285714,0.21428571428571427,0.3571428571428571,98,96,97
602,روس اخلال عمو سنی ثعفی ب ایدن سنەلرذه ىوقرساينا سوسياضلكس اختلالکارأ فرقەسی تأسیس ولندی بونك افيار نظرياتا عنى روش فزقەسنكاجتهااتنه موافق و شیور ذی,روس اخلال عموسنی تعفیب ایدن سنەلرده اوقراينا سوسيالكس اختلالکار فرقەسی تأسیس ولندی بونك افيار نظرياتا عنى روس فرقەسنك اجتهااتنه موافق و شیوردی.,روس اختلال عموم سنی تعقیب ایدن سنەلرده اوقراينا سوسياليست اختلالکار فرقەسی تأسیس اولندی بونك افكار ونظرياتى عنى روس فرقەسنك اجتهاداتنه موافق و شیوردی.,0.15333333333333332,0.07333333333333333,0.07999999999999999,0.6956521739130435,0.391304347826087,0.3043478260869565,147,143,150
748,ةیئن اسبخلاصه، کندیآ مؤكللرييه مؤثربر مغاونت ابرازايده بيلمك اي چون روس او قرایناسندة هم ملی،ع هم سیا سی بر تشیلاتص وح وإده کتیردی.,حیئن اسبخلاصه، کندی مؤكللرينه مؤثر بر معاونت ابرازايده بيلمك ايچون روس او قرایناسنده هم ملی، عهم سیاسی بر تشیلات وحوده کتیردی.,هیئت استخلاصه، کندی مؤكللرينه مؤثر بر معاونت ابرازايده بيلمك ايچون روس او قرایناسنده هم ملی، هم سیاسی بر تشکیلات وجوده كتیردی.,0.1349206349206349,0.05555555555555555,0.07936507936507936,0.8095238095238095,0.2857142857142857,0.5238095238095238,131,126,126
32,بىلاده ت عداداولنان اوقراينا فرقەلنذسن بشقآه «اوقرينا ترفييرورا,بالاده تعداد اولنان اوقراينا فرقەلندن بشقه «اوقراينا ترفييرورا,بالاده تعداداولنان اوقراينا فرقەلرندن بشقه «اوقراينا ترقييروران,0.14285714285714285,0.06349206349206349,0.07936507936507936,1.0,0.5714285714285714,0.4285714285714286,63,62,63
29,بالاده تعد ادىولنان اقزايثا فزفەلرندن بشقه «اوقرايناترقييروران,بالاده تعد اداولنان اقزاينا فرقەلرندن بشقه «اوقراينا ترقييروران,بالاده تعداداولنان اوقراينا فرقەلرندن بشقه «اوقراينا ترقييروران,0.12698412698412698,0.047619047619047616,0.07936507936507936,0.8571428571428571,0.42857142857142855,0.42857142857142855,62,63,63
189,بوملوك او فراىنياليلزرك عاذات و آذاب معاشرتنه طوقنمق شـويله طورسون بالعك اوقراينالكلزرك لشانى، قوانين ومذنيتنى بيةله قبولش ابتديلر.,بوملوك او قرايناليلرك عادات و آداب معاشرتنه طوقنمق شـويله طورسون بالعك اوقرايناليلرك لشانى، قوانين ومدنيتنى بيله قبولش ابتديلر.,بوملوك اوقرايناليلرك عادات و آداب معاشرتنه طوقنمق شـويله طورسون بالعكس اوقرايناليلرك لسانى، قوانين ومدنيتنى بيله قبول ابتديلر.,0.1111111111111111,0.031746031746031744,0.07936507936507936,0.5882352941176471,0.29411764705882354,0.29411764705882354,131,127,126
