sample_id,source_title,page_id,line_id,image_url,ocr_engine,ocr_text,clean_text,notes
real_044_001,Ukraina Russia Turkey,page_044,line_001,local,tesseract_ara_eng_psm6,عصر نصف اولك صوكنه طوغرى اوقراما حاتى بر جوق ‎cle‏,عصر نصف اولنك صوكنه طوغرى اوقراینا حیاتی بر چوق عالملر،,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_002,Ukraina Russia Turkey,page_044,line_002,local,tesseract_ara_eng_psm6,‎ate pad esl‏ . بونلرك اوقراينا ‎Sol‏ واتنوغىافسى حقنده,اديبلر يتيشدير مشدر. بونلرك اوقراينا تاریخی واتنوغرافيسى حقنده,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_003,Ukraina Russia Turkey,page_044,line_003,local,tesseract_ara_eng_psm6,‎cabal hk‏ اترار» ‎cpa del sal‏ اووويا علماريتك سويسته,يازمش اولدقلری اثرلر، اوقرانيا علومنی، آوروپا عاملرينك سويەسنه,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_004,Ukraina Russia Turkey,page_044,line_004,local,tesseract_ara_eng_psm6,قادار ح.قارمش ‎ts Gey‏ اوقراينا ‎SI‏ مله وسساسهدسنك,قادار چیقارمش وعينى زمانده اوقراينا افكار مليه وسياسيەسنك,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_005,Ukraina Russia Turkey,page_044,line_005,local,tesseract_ara_eng_psm6,‎aes Goal‏ اجون مهم ‎SL oy‏ اواشاردر . بودورهيهمنسوب,تعميق وتوسیعی ايچون مهم برر سائق اولمشلردر. بودوره به منسوب,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_006,Ukraina Russia Turkey,page_044,line_006,local,tesseract_ara_eng_psm6,علما وادبادن » مورخ ( قوستوماروف ) ‎oss Hele‏,علما وادبادن، مورخ (قوستوماروف)، اتنوغرافي متخصصی,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_007,Ukraina Russia Turkey,page_044,line_007,local,tesseract_ara_eng_psm6,‎(See)‏ ومورخ وشاع ( قوليش )ك2 اسمارى ذكر اد طلدرار .,(چوبينسكي) ومورخ وشاعر (قوليش)ك اسملرى ذكر ایديلمليدرلر.,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_008,Ukraina Russia Turkey,page_044,line_010,local,tesseract_ara_eng_psm6,فقط بواسمارك قعرنده ‎MLN Sol‏ بوتون قواى فطر يوسن ى ‎LE‏,فقط بواسملرك قعرنده اوقراينانك بوتون قوای فطریه سنی تمثیل ايدن,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_009,Ukraina Russia Turkey,page_044,line_011,local,tesseract_ara_eng_psm6,‎Gal‏ بوبوك اوقراينا شاعرى ‎Ib)‏ شهوحهمو ) نك اسمى,بويوك اوقراينا شاعری (طاراس شەوچەنقو)نك اسمى,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_010,Ukraina Russia Turkey,page_044,line_012,local,tesseract_ara_eng_psm6,بولومقدهدر ‎(pie get).‏ اوقرانما قره طوبراغنك وشاعى ملتنك,بولونمقدەدر. (شەوچەنقو)، اوقرانيا قرەطوپراغنك وشاعر ملتنك,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_011,Ukraina Russia Turkey,page_044,line_013,local,tesseract_ara_eng_psm6,قره ‎AIL‏ توزاد حققس.در . ‎soa‏ حقوق ولروندن محروم,قره طالعنك نوزاد حقيقيسدر، هردرلو حقوق وثروندن محروم,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_012,Ukraina Russia Turkey,page_044,line_014,local,tesseract_ara_eng_psm6,‎BSG‏ عالوسندن يتشمش اولان شاعى ( شهوجهنقو ) نك روحى»,برکويلى عائله سندن يتشمش اولان شاعر (شەوچەنقو)نك روحى،,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_013,Ukraina Russia Turkey,page_044,line_015,local,tesseract_ara_eng_psm6,اوقراينا طوبرائىكى زنكينء اوقراينا ‎S gh‏ محزون واوقراينانك,اوقراينا طويراغی کی زنكين، اوقراینا ملتی کی محزون واوقراينانك,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_014,Ukraina Russia Turkey,page_044,line_016,local,tesseract_ara_eng_psm6,استقبالى اجون ‎Lal Joely‏ مشبوع اوادينى كى ‎ea‏,استقبالی ايچون بر اختلالجی ایمانیله مشبوع اولدینی کبی کندیسی,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_044_015,Ukraina Russia Turkey,page_044,line_017,local,tesseract_ara_eng_psm6,‎glee‏ ملرك برشاعى حققسى ابدى. ( شهوحدهو ) نك ‎I‏ مقدارده,مظلوملرك برشاعر حقیقیسی ایدی. (شەوچەنقو)نك كليتنى مقدارده,"starter alignment; clean reference from Wikisource page 44, manually checked lightly"
real_045_001,Ukraina Russia Turkey,page_045,line_001,local,tesseract_ara_eng_psm6,هاما ‎alt‏ اك ‎cal‏ . موىاللة » شعرارئده ‎Bele Wee‏,تماماً تخليص ايتمك ايدى. مومى اليه، شعر لرنده بوغایۀ سیاسیەيی,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_002,Ukraina Russia Turkey,page_045,line_002,local,tesseract_ara_eng_psm6,مدم ومدافعه و( كيف ) ده ( كيريل ‎(bogie‏ نام جمعيت سياسيهبى,مدح ومدافعه و(كييف)ده (كيريل ميتودیا) نام جمعیت سیاسیەيی,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_003,Ukraina Russia Turkey,page_045,line_003,local,tesseract_ara_eng_psm6,تشكل ‎Ge)‏ اجون اون ‎Mu Ce‏ اورهنيورغ ‎GORD‏,تشکیل ابتدیکی ایچون اون سنه مدتله اورەنبورغ طرفلرینه نفی,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_004,Ukraina Russia Turkey,page_045,line_004,local,tesseract_ara_eng_psm6,‏ابد لشدى . نومتاستله ‎ad So‏ اوقراينا ‎cele‏ غادملرىده,ایديلمشدی. بومناسبتله دیكر بعض اوقراينا جماعت خادملری ده,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_005,Ukraina Russia Turkey,page_045,line_005,local,tesseract_ara_eng_psm6,دوجار ‎Bb‏ اولشاردى . جار حكومق ء ( شهوحةقو ) نك ‎Sabet)‏,دوچار ظلم اولمشلردی دوچار حکومتی، (شەوچەنقو)نك اشعارينى,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_006,Ukraina Russia Turkey,page_045,line_006,local,tesseract_ara_eng_psm6,‏حاوى ‎Colne)‏ نام ارك نشررى منع اعمشدى .,حاوى (قوبزار) نام اثرك نشرنى منع ايتمشدی.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_007,Ukraina Russia Turkey,page_045,line_007,local,tesseract_ara_eng_psm6,فقط اوقراينادمى فعاللت دوام لمش ‎gal‏ . اللنحى ‎)186٠(‏,فقط اوقراینادەکی فعالیت دوام ایتمش ايدى. اللنجى (١٨٥٠),auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_008,Ukraina Russia Turkey,page_045,line_008,local,tesseract_ara_eng_psm6,‎je‏ دوروستك وسطكده اوقفراسْئ انك خرسون ولاشده,سنەلر دورەسنك وسطنده اوقراينانك خرسون ولا يتـده «قازاقلر»,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_009,Ukraina Russia Turkey,page_045,line_009,local,tesseract_ara_eng_psm6,‎Bb >‏ « دورستك ‎Sie‏ تخطر ‎gal‏ اسير ‎SMW‏,دورەسنك عنعناتي تخطر ايدن اسير كويليلوك تصديق وعصانی,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_010,Ukraina Russia Turkey,page_045,line_010,local,tesseract_ara_eng_psm6,‏تضدق ‎Glecs‏ اوزرينه » ‎ab F‏ حريت شخصه وبريإديى ‎Oh)‏,اوزرینه، کویلی به حریت شخصیه ویریلدیکی زمان اوقراينانك,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_011,Ukraina Russia Turkey,page_045,line_011,local,tesseract_ara_eng_psm6,‏اوقراينانك افكار منوره ‎Get‏ افراد مات اراسئده درحال فعاليت,افكار منوره اصحابی افراد ملت آراسنده در حال فعالیت مدنيەبه,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_012,Ukraina Russia Turkey,page_045,line_012,local,tesseract_ara_eng_psm6,‎gl LoL 8 sl Spans S arcds‏ اوزره عدلقه صوص 5 أفسات,كبريشه رك اوقراينا لسانی اوزره خلقه مخصوص بر ادبیات,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_013,Ukraina Russia Turkey,page_045,line_013,local,tesseract_ara_eng_psm6,وجوده ‎oh Te gAL BL Ub Sa cS‏ مكثار تأسسته ورسالةلر,وجوده كتيرمكه، ياشلی انسانلر ايچون آيريجه مکتبلر تأسيسه,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_014,Ukraina Russia Turkey,page_045,line_014,local,tesseract_ara_eng_psm6,نشرينه باشلا مشاردر . اوقراينالى مكاتب ‎Sle‏ طليهسى « اوقرا شسقا,ورسالەلر نشرينه باشلا مشلردر. اوقراينالى مكاتب عاليه طلبەسی.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_045_015,Ukraina Russia Turkey,page_045,line_015,local,tesseract_ara_eng_psm6,غىومادا » نامندوى ‎car‏ اطرافئده طويلا مشاردر .,«اوقرابينستا غرومادا» نامندەکی جمعیت اطرافنده طوپلانمشلردر.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_046_001,Ukraina Russia Turkey,page_046,line_001,local,tesseract_ara_eng_psm6,‏لكن كيف‎ ¢ Geant BINS ‏كنت شدات | عدسى أقزرمة دعا زادو‎,کسب شدت ایتمەسی اوزرینه دها زیاده قالشمشـدى. لكن كيف,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_046_002,Ukraina Russia Turkey,page_046,line_002,local,tesseract_ara_eng_psm6,‏دارالفنوننك تار معامى ولادمير ا نطونوو مم ورفقاسىودها صكره‎,دار الفنوننك تاريخ معامى ولاديمير آنطونوویچ و رفقاسي ودها صكره,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_046_003,Ukraina Russia Turkey,page_046,line_003,local,tesseract_ara_eng_psm6,‏مكتب معلمارندن مخاشمل دراغومانوف وه دراغومانوفار»‎ pe,عينى مكتب معلملرندن ميخائيل دراغومانوف و «دراغومانوفلر»,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_046_004,Ukraina Russia Turkey,page_046,line_004,local,tesseract_ara_eng_psm6,‏بر اصواده نوبوك برمتانتله‎ Sab ‏وفعال قوتلر » دعواى‎ SS,کی یکی وفعال قوتلر، دعوای ملی یی یکی بر اصولده بويوك برمتانتله,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_046_005,Ukraina Russia Turkey,page_046,line_005,local,tesseract_ara_eng_psm6,‏وولقوف‎ + Son ge ( ‏زمانده بر طرفدن‎ Ge. ‏قيب اتديار‎,تعقیب ايتديلر. عینی زمانده بر طرفدن (چوبنسكى، وولقوف,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_046_006,Ukraina Russia Turkey,page_046,line_006,local,tesseract_ara_eng_psm6,Sonim gh ‏وسائره كى ) اوقراينا النوغىافستالرى كندى‎,وسائرەکی) اوقراينا اتنوغرافيستلری کندی ملتلری حقندەکی قیمتلی,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_046_007,Ukraina Russia Turkey,page_046,line_007,local,tesseract_ara_eng_psm6,‏اساسار وجودء‎ co gad cy dele LiL Syl ‏دوام الله‎ ofa ‏فستلى‎,تعارف دوام ايله اوقراينا عاملرينه مخصوص اساسلر وجوده كتير مكده,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
